gen,beta,x,y,abund,muFit,sigmaFit,muDisp,sigmaDisp
23,0,0,4,97,0.0433471568305043,0.193520184374134,-100,0
23,0,0,5,110,0.0477122173730221,0.144895868955429,-100,0
23,0,0,10,92,0.0531551774764888,0.177368861481784,-100,0
23,0,0,7,94,0.0408526371682165,0.178998740177237,-100,0
23,0,0,1,95,0.0488697232671143,0.185086826427135,-100,0
23,0,0,9,111,0.0567071738680398,0.131749885048096,-100,0
23,0,0,8,101,0.0458074073162524,0.164256284632858,-100,0
23,0,0,6,87,0.0403779559027235,0.18076792956181,-100,0
23,0,0,2,115,0.0474825348944859,0.145495340942612,-100,0
23,0,0,3,92,0.0502664913577871,0.187174572758255,-100,0
24,0,0,4,79,0.0434494726005756,0.187287605102552,-100,0
24,0,0,5,87,0.046351199138534,0.160441110574983,-100,0
24,0,0,10,81,0.0538931344497075,0.18051085678791,-100,0
24,0,0,7,115,0.0399906975045933,0.178486520037482,-100,0
24,0,0,1,103,0.0479755709939587,0.184280707907085,-100,0
24,0,0,9,90,0.055744646605652,0.141339054705804,-100,0
24,0,0,8,119,0.0458222908608831,0.165372837143074,-100,0
24,0,0,6,96,0.0405380637828224,0.179787967539855,-100,0
24,0,0,2,95,0.0477046899223792,0.152231778191038,-100,0
24,0,0,3,101,0.0502581971137927,0.186119918814967,-100,0
25,0,0,4,106,0.0443223981793896,0.171102881065474,-100,0
25,0,0,5,96,0.0452906808295389,0.166854478799477,-100,0
25,0,0,10,105,0.0532130263910544,0.177588682043254,-100,0
25,0,0,7,85,0.0412344572856019,0.176875436223174,-100,0
25,0,0,1,108,0.0472885367363498,0.182727071247475,-100,0
25,0,0,9,84,0.0557027412039494,0.139198024989471,-100,0
25,0,0,8,93,0.0464956645479868,0.170995615821286,-100,0
25,0,0,6,107,0.0396856983518993,0.187444974266633,-100,0
25,0,0,2,104,0.0478576347195676,0.160475888423024,-100,0
25,0,0,3,95,0.0495639702482169,0.180553402671358,-100,0
26,0,0,4,107,0.0442098170249294,0.17229504027809,-100,0
26,0,0,5,97,0.0456222253111139,0.165266292617373,-100,0
26,0,0,10,86,0.0519459724957051,0.160810560406371,-100,0
26,0,0,7,103,0.0413876908514839,0.174723855134717,-100,0
26,0,0,1,95,0.0467285754330199,0.185172524966303,-100,0
26,0,0,9,85,0.0545146724669043,0.146145759704038,-100,0
26,0,0,8,111,0.0467543088850422,0.173448000636692,-100,0
26,0,0,6,109,0.0402570998919664,0.182524576160676,-100,0
26,0,0,2,90,0.0485621590161728,0.154575400643538,-100,0
26,0,0,3,99,0.0511416699915813,0.169565563360854,-100,0
27,0,0,4,100,0.0444992532645799,0.178919032617884,-100,0
27,0,0,5,108,0.0473543159797778,0.151951057416156,-100,0
27,0,0,10,102,0.0525183630949438,0.161104708410934,-100,0
27,0,0,7,103,0.0420137812234946,0.175088889024548,-100,0
27,0,0,1,88,0.0470330905855639,0.187257950696897,-100,0
27,0,0,9,107,0.0535646807144324,0.156733970463712,-100,0
27,0,0,8,99,0.0459226625797489,0.18086232610036,-100,0
27,0,0,6,94,0.0404964000541536,0.188864886361093,-100,0
27,0,0,2,114,0.0480483088700757,0.15916891523967,-100,0
27,0,0,3,85,0.0495659797414841,0.181898893964506,-100,0
28,0,0,4,109,0.0457248733352848,0.182875514462481,-100,0
28,0,0,5,103,0.0488218238580244,0.150883970242252,-100,0
28,0,0,10,102,0.0511074883052281,0.161821055304504,-100,0
28,0,0,7,85,0.0420617834063829,0.17320965313798,-100,0
28,0,0,1,96,0.0457683374235193,0.181915454830051,-100,0
28,0,0,9,94,0.0549746057209946,0.155132193156119,-100,0
28,0,0,8,116,0.045128222737578,0.189837051400413,-100,0
28,0,0,6,109,0.0423822106635257,0.186660175535062,-100,0
28,0,0,2,100,0.0479325246766446,0.154107535931829,-100,0
28,0,0,3,99,0.0493540334932153,0.181414469035408,-100,0
29,0,0,4,106,0.0435918409448898,0.170626855137374,-100,0
29,0,0,5,93,0.0484383797263185,0.153955726899696,-100,0
29,0,0,10,107,0.0513130897595737,0.16518501238002,-100,0
29,0,0,7,101,0.0427881035426545,0.173760408667678,-100,0
29,0,0,1,101,0.0465692075426876,0.183349393577555,-100,0
29,0,0,9,94,0.0550206118855673,0.158909933303923,-100,0
29,0,0,8,102,0.0435507054006495,0.180658766253383,-100,0
